category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievancesWithGoodRating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airline,FlyBig,Other,11,NA,NA,7,7,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,11,10,1,1,NA
Airline,Fly Dubai,Check-in & Boarding,10,NA,NA,6,6,NA,NA,7,3,3,NA,NA,NA,NA,NA,NA,NA,10,7,3,3,NA
Airline,Fly Dubai,"Ticketing, Fares & Refunds",40,NA,NA,40,40,NA,NA,34,6,6,NA,NA,NA,NA,NA,NA,NA,40,34,6,6,NA
Airline,Fly Dubai,"Ticketing, Fares &amp; Refunds",15,NA,NA,9,9,NA,NA,13,2,1,1,NA,NA,NA,NA,NA,NA,15,13,2,2,NA
Airline,Jet Airways,Cleanliness,9,NA,NA,9,9,NA,NA,7,2,2,NA,NA,NA,NA,1,NA,1,9,7,2,2,NA
Airline,Jet Airways,Other,310,NA,NA,310,310,NA,NA,269,41,37,3,1,NA,NA,6,NA,7,310,269,41,41,NA
Airline,Kenya Airways,Check-in &amp; Boarding,3,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,3,2,1,1,NA
Airline,Kenya Airways,Other,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Nepal Airlines Corporation,Flight Delays,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,1,NA
Airline,Nepal Airlines Corporation,"Ticketing, Fares & Refunds",4,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,1,NA
Airline,Alliance Air (India),Check-in &amp; Boarding,25,NA,NA,11,11,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,1,25,24,1,1,NA
Airline,Alliance Air (India),Other,62,NA,NA,58,58,NA,NA,60,2,1,1,NA,NA,NA,NA,NA,NA,62,60,2,2,NA
Airline,Alliance Air (India),Staff / Crew Behavior,15,1,NA,14,14,NA,NA,13,1,1,NA,NA,NA,NA,NA,NA,NA,15,14,1,1,NA
Airline,VietJet Air,Baggage,23,NA,NA,19,19,NA,NA,20,3,3,NA,NA,NA,NA,NA,NA,2,23,20,3,3,NA
Airline,VietJet Air,Check-in &amp; Boarding,10,NA,NA,2,2,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,10,9,1,1,NA
Airline,VietJet Air,Flight Delays,26,NA,NA,3,3,NA,NA,25,1,NA,NA,1,NA,NA,NA,NA,NA,26,25,1,1,NA
Airline,Cathay Pacific,Baggage,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA
Airline,Cathay Pacific,Check-in & Boarding,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA
Airline,Cathay Pacific,Check-in &amp; Boarding,3,NA,NA,3,3,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,3,2,1,1,NA
Airline,Cathay Pacific,Flight Delays,4,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,2,NA
Airline,Cathay Pacific,"Ticketing, Fares & Refunds",18,NA,NA,18,18,NA,NA,16,2,1,1,NA,NA,NA,NA,NA,3,18,15,3,3,NA
Airline,Cathay Pacific,"Ticketing, Fares &amp; Refunds",6,NA,NA,6,6,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,6,5,1,1,NA
Airline,Jetlite,Baggage,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Jetlite,Flight Delays,9,NA,NA,9,9,NA,NA,8,1,1,NA,NA,NA,NA,NA,NA,2,9,6,3,3,NA
Airline,Air Manas,Check-in & Boarding,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA
Airline,Air Manas,Flight Delays,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Singapore Airlines,Baggage,12,NA,NA,11,11,NA,NA,10,2,1,NA,NA,1,NA,NA,NA,1,12,10,2,2,NA
Airline,Turkish Airlines,Flight Delays,13,NA,NA,11,11,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,3,13,12,1,1,NA
Airline,Turkish Airlines,"Ticketing, Fares & Refunds",33,NA,NA,33,33,NA,NA,28,5,4,NA,1,NA,NA,NA,NA,1,33,28,5,5,NA
Airline,Air Arabia,Check-in & Boarding,14,NA,NA,13,13,NA,NA,11,3,3,NA,NA,NA,NA,NA,NA,2,14,11,3,3,NA
Airline,Air Arabia,Other,8,NA,NA,7,7,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,1,8,7,1,1,NA
Airline,Egypt Air,Check-in & Boarding,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Egypt Air,Meal,2,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA
Airline,Egypt Air,Staff / Crew Behavior,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
Airline,Egypt Air,"Ticketing, Fares & Refunds",10,NA,NA,10,10,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,1,10,9,1,1,NA
Airline,Oman Airlines,Baggage,24,NA,NA,24,24,NA,NA,20,4,2,2,NA,NA,NA,NA,NA,NA,24,20,4,4,NA
Airline,Oman Airlines,Check-in & Boarding,9,NA,NA,9,9,NA,NA,8,1,NA,1,NA,NA,NA,NA,NA,NA,9,8,1,1,NA
Airline,Oman Airlines,Flight Delays,5,NA,NA,5,5,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,5,2,3,3,NA
Airline,Oman Airlines,Staff / Crew Behavior,3,NA,NA,3,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA
Airline,Oman Airlines,"Ticketing, Fares & Refunds",99,NA,NA,99,99,NA,NA,81,18,11,NA,2,5,NA,NA,NA,NA,99,81,18,18,NA
Airline,Oman Airlines,"Ticketing, Fares &amp; Refunds",17,NA,NA,16,16,NA,NA,16,1,1,NA,NA,NA,NA,NA,NA,NA,17,16,1,1,NA
Airline,KLM Airlines,Baggage,15,NA,NA,11,11,NA,NA,14,1,1,NA,NA,NA,NA,NA,NA,1,15,13,2,2,NA
Airline,KLM Airlines,Staff / Crew Behavior,7,NA,NA,7,7,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,NA
Airline,KLM Airlines,"Ticketing, Fares & Refunds",40,NA,NA,40,40,NA,NA,38,2,2,NA,NA,NA,NA,NA,NA,1,40,38,2,2,NA
Airline,KLM Airlines,"Ticketing, Fares &amp; Refunds",10,NA,2,1,1,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,10,9,1,1,NA
Airline,Thai Airways,Baggage,27,NA,NA,26,26,NA,NA,26,1,1,NA,NA,NA,NA,NA,NA,3,27,24,3,3,NA
Airline,Thai Airways,Check-in & Boarding,5,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,1,NA
Airline,Thai Airways,Flight Delays,10,NA,NA,4,4,NA,NA,8,2,2,NA,NA,NA,NA,NA,NA,2,10,8,2,2,NA
Airline,Thai Airways,Meal,3,NA,NA,2,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,1,NA
Airline,Thai Airways,Other,14,NA,NA,14,14,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,1,14,13,1,1,NA
Airline,Malaysia Airlines,Baggage,25,NA,1,20,20,NA,NA,22,2,2,NA,NA,NA,NA,NA,NA,3,25,21,4,4,NA
Airline,Malaysia Airlines,Check-in & Boarding,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,1,NA
Airline,Malaysia Airlines,Flight Delays,10,NA,NA,7,7,NA,NA,6,4,NA,3,NA,NA,1,NA,NA,1,10,6,4,4,NA
Airline,Malaysia Airlines,"Ticketing, Fares &amp; Refunds",33,NA,NA,21,21,NA,NA,32,1,NA,1,NA,NA,NA,NA,NA,1,33,31,2,2,NA
Airline,IndiGo,Maintenance,104,NA,NA,104,104,NA,NA,89,15,13,2,NA,NA,NA,2,NA,3,104,88,16,16,NA
Airline,Saudia,Baggage,22,NA,NA,21,21,NA,NA,20,2,2,NA,NA,NA,NA,NA,NA,NA,22,20,2,2,NA
Airline,Saudia,Check-in &amp; Boarding,7,NA,NA,6,6,NA,NA,6,1,NA,NA,NA,1,NA,NA,NA,NA,7,6,1,1,NA
Airline,Saudia,Flight Delays,14,NA,NA,12,12,NA,NA,11,3,3,NA,NA,NA,NA,NA,NA,2,14,11,3,3,NA
Airline,Air Mauritius,Baggage,5,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,2,2,NA
Airline,Air Mauritius,Flight Delays,22,NA,NA,18,18,NA,NA,19,3,2,1,NA,NA,NA,NA,NA,NA,22,19,3,3,NA
Airline,Air Mauritius,Other,8,NA,NA,7,7,NA,NA,7,1,NA,NA,1,NA,NA,NA,NA,NA,8,7,1,1,NA
Airline,Air Astana,Baggage,4,NA,NA,4,4,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,4,3,1,1,NA
Airline,Air Astana,Check-in &amp; Boarding,6,NA,NA,1,1,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,6,5,1,1,NA
Airline,Air Astana,Other,5,NA,NA,5,5,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,5,4,1,1,NA
Airline,Air Astana,Staff / Crew Behavior,2,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA
Airline,Air Astana,"Ticketing, Fares & Refunds",3,NA,NA,3,3,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,1,3,2,1,1,NA
Airline,Srilankan Airways,Check-in & Boarding,6,NA,NA,5,5,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,6,5,1,1,NA
Airline,Srilankan Airways,Flight Delays,13,NA,NA,6,6,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,2,13,11,2,2,NA
Airline,Srilankan Airways,Other,5,NA,NA,5,5,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,5,4,1,1,NA
Airline,TruJet,Check-in & Boarding,12,NA,NA,12,12,NA,NA,10,2,2,NA,NA,NA,NA,NA,NA,NA,12,10,2,2,NA
Airline,TruJet,Flight Delays,66,NA,NA,66,66,NA,NA,57,9,9,NA,NA,NA,NA,1,NA,2,66,56,10,10,NA
Airline,TruJet,"Ticketing, Fares & Refunds",133,NA,NA,130,130,NA,NA,128,5,4,NA,1,NA,NA,1,NA,4,133,124,9,9,NA
Airline,Air Seychelles,Baggage,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA
Airline,Air Seychelles,Check-in & Boarding,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
Airline,Air Seychelles,"Ticketing, Fares & Refunds",13,NA,NA,13,13,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,13,12,1,1,NA
Airline,Malindo Airways,Flight Delays,16,NA,1,11,11,NA,NA,12,3,3,NA,NA,NA,NA,NA,NA,NA,16,13,3,3,NA
Airline,Malindo Airways,Meal,4,NA,NA,4,4,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,4,3,1,1,NA
Airline,Malindo Airways,Other,11,NA,NA,10,10,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,1,11,10,1,1,NA
Airline,Malindo Airways,Staff / Crew Behavior,2,NA,NA,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Airline,Malindo Airways,"Ticketing, Fares &amp; Refunds",24,NA,NA,19,19,NA,NA,23,1,1,NA,NA,NA,NA,NA,NA,NA,24,22,2,2,NA
Airline,China Eastern Airlines,Check-in & Boarding,6,NA,NA,6,6,NA,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,6,4,2,2,NA
Airline,China Eastern Airlines,Flight Delays,3,NA,NA,3,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA
Airline,SpiceJet,Cleanliness,12,NA,NA,10,10,NA,NA,9,3,3,NA,NA,NA,NA,NA,NA,NA,12,9,3,3,NA
Airline,SpiceJet,Person With Disability,35,NA,NA,34,34,NA,NA,28,7,6,NA,NA,NA,1,NA,NA,NA,35,28,7,7,NA
Airline,Swiss Air,Staff / Crew Behavior,2,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Helicopter - General Aviation,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Helicopter - General Aviation,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Helicopter - General Aviation,NA,NA,7,NA,NA,7,7,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,1,7,5,2,2,NA
Helicopter - General Aviation,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Helicopter - General Aviation,NA,NA,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA
Helicopter - General Aviation,NA,NA,4,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,4,NA
DGCA,DGCA,Engineering Training School,8,NA,NA,8,8,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,8,7,1,1,NA
DGCA,DGCA,Examination,61,NA,NA,61,61,NA,NA,55,6,4,NA,NA,NA,2,NA,NA,NA,61,54,7,7,NA
Customs,Mumbai,Arrival,19,1,NA,18,18,NA,NA,17,1,1,NA,NA,NA,NA,NA,NA,NA,19,18,1,1,NA
Customs,Mangalore,Arrival,3,NA,NA,3,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,3,1,2,2,NA
Customs,Delhi,Arrival,19,NA,NA,19,19,NA,NA,18,1,1,NA,NA,NA,NA,NA,NA,NA,19,18,1,1,NA
Customs,Ahmedabad,Arrival,13,NA,NA,13,13,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,13,12,1,1,NA
Customs,Calicut,Arrival,6,NA,NA,6,6,NA,NA,4,2,1,1,NA,NA,NA,NA,NA,2,6,3,3,3,NA
Customs,Chennai,Arrival,12,NA,NA,12,12,NA,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,12,11,1,1,NA
Immigration,Thiruvananthapuram,Departure,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Immigration,Mumbai,Arrival,36,NA,NA,36,36,NA,NA,33,3,1,NA,NA,1,1,NA,NA,1,36,33,3,3,NA
Immigration,Mumbai,Other,4,NA,NA,4,4,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Immigration,Kolkata,Arrival,5,NA,NA,5,5,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,5,3,2,2,NA
Immigration,Patna,Other,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
Immigration,Pune,Departure,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA
Immigration,Delhi,Arrival,27,NA,NA,27,27,NA,NA,26,1,1,NA,NA,NA,NA,NA,NA,NA,27,26,1,1,NA
Immigration,Chennai,Arrival,19,NA,NA,19,19,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,1,19,18,1,1,NA
Immigration,Chennai,Departure,36,NA,NA,36,36,NA,NA,33,3,2,1,NA,NA,NA,NA,NA,NA,36,33,3,3,NA
Immigration,Mangalore,Departure,2,NA,NA,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Immigration,Hyderabad,Other,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
Immigration,Tiruchirappalli,Arrival,3,NA,NA,3,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA
Immigration,Tiruchirappalli,Departure,4,NA,NA,4,4,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Immigration,Madurai,Departure,4,NA,NA,4,4,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,NA
BCAS,BCAS,Entry Passes,16,NA,NA,16,16,NA,NA,15,1,1,NA,NA,NA,NA,NA,NA,NA,16,15,1,1,NA
BCAS,BCAS,Other,125,NA,NA,124,124,NA,NA,117,8,8,NA,NA,NA,NA,1,NA,11,125,111,14,14,NA
BCAS,BCAS,Security Program Approval,6,NA,NA,6,6,NA,NA,5,1,NA,1,NA,NA,NA,NA,NA,1,6,5,1,1,NA
Airport,Hyderabad,Retail Shops / Food &amp; Beverage,11,NA,NA,11,11,NA,NA,9,2,NA,NA,NA,2,NA,NA,NA,NA,11,9,2,2,NA
Airport,Hyderabad,Seating / Waiting Area,15,NA,NA,15,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,1,1,NA
Airport,Hyderabad,Signages / Flight Display,4,NA,NA,4,4,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Airport,Hyderabad,Taxi / Parking,26,NA,NA,26,26,NA,NA,18,8,8,NA,NA,NA,NA,NA,NA,NA,26,18,8,8,NA
Airport,Hyderabad,Trolly / Ameniites / Buggy / Wifi,9,NA,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,1,1,NA
Airport,Thiruvananthapuram,Cleanliness / Hygiene,6,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,1,1,NA
Airport,Delhi,Air Conditioning / Maintenance,18,NA,NA,14,14,NA,NA,17,1,1,NA,NA,NA,NA,NA,NA,2,18,17,1,1,NA
Airport,Delhi,Person With Disability,15,NA,NA,14,14,NA,NA,13,2,1,NA,1,NA,NA,NA,NA,3,15,12,3,3,NA
Airport,Delhi,Seating / Waiting Area,47,NA,NA,47,47,NA,NA,42,5,5,NA,NA,NA,NA,1,NA,3,47,42,5,5,NA
Airport,Delhi,Signages / Flight Display,16,NA,NA,16,16,NA,NA,15,1,NA,1,NA,NA,NA,NA,NA,1,16,15,1,1,NA
Airport,Delhi,Staff / Crew behavoiur,78,NA,NA,78,78,NA,NA,73,5,2,2,NA,NA,1,1,NA,4,78,73,5,5,NA
Airport,Varanasi,Other,15,NA,1,14,14,NA,NA,10,4,3,1,NA,NA,NA,NA,NA,NA,15,11,4,4,NA
Airport,Varanasi,Signages / Flight Display,2,NA,NA,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Airport,Varanasi,Trolly / Ameniites / Buggy / Wifi,5,NA,NA,4,4,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,5,4,1,1,NA
Airport,Bhubaneswar,Cleanliness / Hygiene,14,NA,NA,14,14,NA,NA,13,1,1,NA,NA,NA,NA,1,NA,1,14,13,1,1,NA
Airport,Bhubaneswar,Retail Shops / Food & Beverage,5,NA,NA,5,5,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,5,3,2,2,NA
Airport,Bhubaneswar,Taxi / Parking,23,NA,NA,23,23,NA,NA,19,4,3,NA,1,NA,NA,NA,NA,NA,23,19,4,4,NA
Airport,Calicut,Baggage / Lost &amp; Found ,7,NA,NA,6,6,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,NA
Airport,Calicut,Seating / Waiting Area,8,NA,NA,8,8,NA,NA,7,1,NA,NA,1,NA,NA,NA,NA,NA,8,7,1,1,NA
Airport,Nagpur,Baggage / Lost & Found ,2,NA,NA,2,2,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Airport,Nagpur,Seating / Waiting Area,10,NA,NA,10,10,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,10,9,1,1,NA
Airport,Nagpur,Taxi / Parking,13,NA,NA,13,13,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,13,12,1,1,NA
Airport,Aurangabad,Taxi / Parking,10,NA,NA,10,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,10,9,1,1,NA
Airport,Madurai,Seating / Waiting Area,3,NA,NA,3,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA
Airport,Bagdogra,Cleanliness / Hygiene,9,NA,NA,7,7,NA,NA,8,1,NA,1,NA,NA,NA,NA,NA,NA,9,8,1,1,NA
Airport,Bagdogra,Other,23,NA,NA,23,23,NA,NA,20,3,1,1,1,NA,NA,NA,NA,NA,23,20,3,3,NA
Airport,Bagdogra,Retail Shops / Food & Beverage,9,NA,NA,9,9,NA,NA,8,1,1,NA,NA,NA,NA,NA,NA,1,9,8,1,1,NA
Airport,Bagdogra,Taxi / Parking,9,NA,NA,9,9,NA,NA,8,1,NA,1,NA,NA,NA,NA,NA,NA,9,8,1,1,NA
Airport,Bagdogra,Trolly / Ameniites / Buggy / Wifi,7,NA,NA,7,7,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,NA
Airport,MIHAN,Taxi / Parking,4,1,NA,3,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Airport,Lucknow,Air Conditioning / Maintenance,13,NA,NA,13,13,NA,NA,12,1,NA,NA,1,NA,NA,NA,NA,NA,13,12,1,1,NA
Airport,Lucknow,Baggage / Lost & Found ,19,NA,NA,19,19,NA,NA,16,3,1,NA,2,NA,NA,NA,NA,NA,19,16,3,3,NA
Airport,Lucknow,Taxi / Parking,14,NA,NA,14,14,NA,NA,13,1,1,NA,NA,NA,NA,NA,NA,1,14,13,1,1,NA
Airport,Kochi,Air Conditioning / Maintenance,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,1,NA
Airport,Kochi,Seating / Waiting Area,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,1,NA
Airport,Kochi,Signages / Flight Display,2,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA
Airport,Kochi,Trolly / Ameniites / Buggy / Wifi,2,NA,NA,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Airport,Pondicherry,Seating / Waiting Area,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA
Airport,Mumbai,Person With Disability,16,NA,NA,14,14,NA,NA,15,1,1,NA,NA,NA,NA,NA,NA,NA,16,15,1,1,NA
Airport,Mumbai,Seating / Waiting Area,22,NA,NA,22,22,NA,NA,19,3,3,NA,NA,NA,NA,NA,NA,NA,22,19,3,3,NA
Airport,Mumbai,Staff / Crew behavoiur,41,NA,NA,41,41,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,40,1,1,NA
Airport,Mumbai,Taxi / Parking,95,NA,NA,93,93,NA,NA,83,12,10,2,NA,NA,NA,NA,NA,3,95,82,13,13,NA
Airport,Visakhapatnam,Other,12,NA,NA,12,12,NA,NA,11,1,1,NA,NA,NA,NA,1,NA,1,12,11,1,1,NA
Airport,Visakhapatnam,Staff / Crew behavoiur,2,NA,NA,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA
Airport,Amritsar,Cleanliness / Hygiene,11,NA,NA,11,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,1,11,10,1,1,NA
Airport,Amritsar,Taxi / Parking,12,NA,NA,12,12,NA,NA,9,3,2,NA,1,NA,NA,NA,NA,NA,12,9,3,3,NA
Airport,Leh,Trolly / Ameniites / Buggy / Wifi,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA
Airport,Rajahmundry,Taxi / Parking,7,NA,NA,7,7,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,NA
Airport,Rajahmundry,Trolly / Ameniites / Buggy / Wifi,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA
Airport,Patna,Staff / Crew behavoiur,12,NA,NA,12,12,NA,NA,10,2,2,NA,NA,NA,NA,NA,NA,NA,12,10,2,2,NA
Airport,Patna,Taxi / Parking,15,NA,NA,15,15,NA,NA,14,1,1,NA,NA,NA,NA,NA,NA,NA,15,14,1,1,NA
Airport,Patna,Trolly / Ameniites / Buggy / Wifi,5,NA,NA,5,5,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,5,4,1,1,NA
Airport,Jodhpur,Taxi / Parking,4,NA,NA,3,3,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Airport,Ludhiana,Cleanliness / Hygiene,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airport,Dehradun,Baggage / Lost &amp; Found ,7,NA,NA,5,5,NA,NA,6,1,NA,NA,NA,NA,1,NA,NA,1,7,6,1,1,NA
Airport,Dehradun,Taxi / Parking,19,NA,NA,19,19,NA,NA,18,1,1,NA,NA,NA,NA,NA,NA,NA,19,18,1,1,NA
Airport,Port Blair,Baggage / Lost &amp; Found ,8,NA,NA,8,8,NA,NA,7,1,NA,1,NA,NA,NA,NA,NA,NA,8,7,1,1,NA
Airport,Kannur International Airport,Other,2,NA,NA,2,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,1,NA
Airport,Ahmedabad,Air Conditioning / Maintenance,11,NA,NA,9,9,NA,NA,10,1,NA,NA,NA,NA,1,NA,NA,1,11,10,1,1,NA
Airport,Ahmedabad,Baggage / Lost & Found ,40,NA,NA,36,36,NA,NA,36,4,2,NA,2,NA,NA,NA,NA,NA,40,36,4,4,NA
Airport,Ahmedabad,Retail Shops / Food & Beverage,23,NA,NA,23,23,NA,NA,22,1,1,NA,NA,NA,NA,NA,NA,NA,23,22,1,1,NA
Airport,Ahmedabad,Staff / Crew behavoiur,11,NA,NA,8,8,NA,NA,10,1,NA,NA,1,NA,NA,NA,NA,1,11,10,1,1,NA
